direction,lot,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usd
BUY,0.01,2025-08-11T01:00:00+00:00,3372.895,3365.8801655156794,3378.7406954036005,2025-08-11T01:45:00+00:00,3378.7406954036005,TP,5.84569540360053
SELL,0.01,2025-08-11T07:30:00+00:00,3359.0082776096383,3363.8455015132554,3350.3012745831275,2025-08-11T08:15:00+00:00,3363.8455015132554,SL,-4.837223903617087
BUY,0.01,2025-08-12T07:30:00+00:00,3355.3528202913753,3350.794617377623,3363.5575855361294,2025-08-12T08:15:00+00:00,3350.794617377623,SL,-4.558202913752211
BUY,0.01,2025-08-13T07:15:00+00:00,3359.6291284152385,3356.0378442628557,3366.0934398895274,2025-08-13T07:45:00+00:00,3356.0378442628557,SL,-3.5912841523827415
SELL,0.01,2025-08-14T00:00:00+00:00,3368.011,3371.155366057717,3365.3906949519023,2025-08-14T00:15:00+00:00,3371.155366057717,SL,-3.1443660577169794
SELL,0.01,2025-08-14T00:15:00+00:00,3372.928,3376.2891970535943,3370.127002455338,2025-08-14T00:30:00+00:00,3370.127002455338,TP,2.8009975446620956
SELL,0.01,2025-08-14T00:30:00+00:00,3371.056,3374.6229115497663,3368.083573708528,2025-08-14T01:00:00+00:00,3368.083573708528,TP,2.9724262914719475
SELL,0.01,2025-08-14T07:30:00+00:00,3355.552949236003,3359.4134568759737,3348.604035484055,2025-08-14T07:45:00+00:00,3348.604035484055,TP,6.948913751947658
SELL,0.01,2025-08-15T04:00:00+00:00,3345.292,3348.2701411461717,3342.8102157115236,2025-08-15T05:00:00+00:00,3348.2701411461717,SL,-2.9781411461717653
BUY,0.01,2025-08-15T07:15:00+00:00,3344.774121924835,3341.792902676486,3350.1403165718634,2025-08-15T07:30:00+00:00,3341.792902676486,SL,-2.9812192483491344
BUY,0.01,2025-08-17T23:15:00+00:00,3329.064,3325.8202837701733,3331.7670968581883,2025-08-18T00:00:00+00:00,3331.7670968581883,TP,2.7030968581884736
BUY,0.01,2025-08-18T07:15:00+00:00,3354.668990903534,3351.129081868193,3361.040827167147,2025-08-18T07:30:00+00:00,3351.129081868193,SL,-3.53990903534077
BUY,0.01,2025-08-19T10:00:00+00:00,3342.0977848547404,3339.3299363073365,3347.079912240067,2025-08-19T11:30:00+00:00,3339.3299363073365,SL,-2.7678485474039007
BUY,0.01,2025-08-20T07:15:00+00:00,3326.284159735915,3323.542562376768,3331.2190349823804,2025-08-20T08:00:00+00:00,3323.542562376768,SL,-2.741597359147363
